timestamp, uuid, clocks_event_reasons.sw_thermal_slowdown, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz]
2026/04/02 17:00:00.058, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 77, 19124, 24576, 67, 250.23, 1470
2026/04/02 17:00:00.065, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.89, 300
2026/04/02 17:00:00.102, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 23.27, 300
2026/04/02 17:00:05.139, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.72, 300
2026/04/02 17:00:05.176, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 75, 19124, 24576, 68, 259.91, 1470
2026/04/02 17:00:05.184, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.54, 300
2026/04/02 17:00:05.221, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 23.16, 300
2026/04/02 17:00:10.258, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.62, 300
2026/04/02 17:00:10.295, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 74, 19124, 24576, 67, 248.23, 1455
2026/04/02 17:00:10.304, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.52, 300
2026/04/02 17:00:10.341, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 23.25, 300
2026/04/02 17:00:15.377, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.68, 300
2026/04/02 17:00:15.414, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 75, 19124, 24576, 67, 254.95, 1470
2026/04/02 17:00:15.421, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 30.03, 300
2026/04/02 17:00:15.457, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 22.96, 300
2026/04/02 17:00:20.495, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.73, 300
2026/04/02 17:00:20.532, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 71, 19124, 24576, 67, 255.89, 1455
2026/04/02 17:00:20.539, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.81, 300
2026/04/02 17:00:20.575, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 23.35, 300
2026/04/02 17:00:25.611, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.84, 300
2026/04/02 17:00:25.648, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 76, 19124, 24576, 67, 247.22, 1470
2026/04/02 17:00:25.655, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.66, 300
2026/04/02 17:00:25.691, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 23.22, 300
2026/04/02 17:00:30.728, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.61, 300
2026/04/02 17:00:30.764, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 76, 19124, 24576, 67, 251.95, 1470
2026/04/02 17:00:30.771, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.55, 300
2026/04/02 17:00:30.807, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 23.32, 300
2026/04/02 17:00:35.843, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.57, 300
2026/04/02 17:00:35.879, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 77, 19124, 24576, 67, 246.18, 1470
2026/04/02 17:00:35.890, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.49, 300
2026/04/02 17:00:35.926, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 23.18, 300
2026/04/02 17:00:40.963, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.55, 300
2026/04/02 17:00:41.000, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 83, 19124, 24576, 67, 248.14, 1500
2026/04/02 17:00:41.006, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.43, 300
2026/04/02 17:00:41.041, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 23.16, 300
2026/04/02 17:00:46.078, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.75, 300
2026/04/02 17:00:46.115, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 85, 19124, 24576, 67, 260.11, 1485
2026/04/02 17:00:46.122, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.73, 300
2026/04/02 17:00:46.159, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 23.01, 300
2026/04/02 17:00:51.196, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.73, 300
2026/04/02 17:00:51.232, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 74, 19124, 24576, 67, 255.41, 1470
2026/04/02 17:00:51.241, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.39, 300
2026/04/02 17:00:51.278, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 22.78, 300
2026/04/02 17:00:56.317, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.78, 300
2026/04/02 17:00:56.354, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 75, 19124, 24576, 67, 250.68, 1470
2026/04/02 17:00:56.361, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.78, 300
2026/04/02 17:00:56.397, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 22.92, 300
2026/04/02 17:01:01.434, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.75, 300
2026/04/02 17:01:01.470, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 76, 19124, 24576, 67, 252.26, 1470
2026/04/02 17:01:01.478, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.71, 300
2026/04/02 17:01:01.514, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 23.04, 300
2026/04/02 17:01:06.550, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.83, 300
2026/04/02 17:01:06.586, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 76, 19124, 24576, 67, 254.63, 1470
2026/04/02 17:01:06.593, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.71, 300
2026/04/02 17:01:06.629, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 22.95, 300
2026/04/02 17:01:11.666, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.78, 300
2026/04/02 17:01:11.703, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 76, 19124, 24576, 67, 247.74, 1470
2026/04/02 17:01:11.710, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.29, 300
2026/04/02 17:01:11.745, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 22.89, 300
2026/04/02 17:01:16.781, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.68, 300
2026/04/02 17:01:16.817, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 76, 19124, 24576, 67, 255.63, 1470
2026/04/02 17:01:16.824, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.60, 300
2026/04/02 17:01:16.860, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 22.93, 300
2026/04/02 17:01:21.897, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.67, 300
2026/04/02 17:01:21.933, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 75, 19124, 24576, 67, 250.35, 1455
2026/04/02 17:01:21.940, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.94, 300
2026/04/02 17:01:21.975, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 22.99, 300
2026/04/02 17:01:27.015, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.76, 300
2026/04/02 17:01:27.051, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 74, 19124, 24576, 67, 259.21, 1455
2026/04/02 17:01:27.058, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.79, 300
2026/04/02 17:01:27.094, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 22.82, 300
2026/04/02 17:01:32.130, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.73, 300
2026/04/02 17:01:32.166, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 75, 19124, 24576, 67, 251.89, 1470
2026/04/02 17:01:32.173, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.86, 300
2026/04/02 17:01:32.210, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 22.96, 300
2026/04/02 17:01:37.247, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.81, 300
2026/04/02 17:01:37.284, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 76, 19124, 24576, 67, 257.20, 1455
2026/04/02 17:01:37.291, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.74, 300
2026/04/02 17:01:37.327, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 22.81, 300
2026/04/02 17:01:42.363, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.72, 300
2026/04/02 17:01:42.399, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 74, 19124, 24576, 67, 258.52, 1470
2026/04/02 17:01:42.406, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.69, 300
2026/04/02 17:01:42.443, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 23.24, 300
2026/04/02 17:01:47.478, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.79, 300
2026/04/02 17:01:47.517, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 76, 19124, 24576, 67, 247.01, 1470
2026/04/02 17:01:47.527, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.69, 300
2026/04/02 17:01:47.564, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 23.42, 300
2026/04/02 17:01:52.599, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.63, 300
2026/04/02 17:01:52.636, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 76, 19124, 24576, 67, 252.93, 1470
2026/04/02 17:01:52.645, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.50, 300
2026/04/02 17:01:52.681, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 23.36, 300
2026/04/02 17:01:57.718, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.72, 300
2026/04/02 17:01:57.754, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 76, 19124, 24576, 67, 248.94, 1470
2026/04/02 17:01:57.762, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.73, 300
2026/04/02 17:01:57.798, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 23.34, 300
2026/04/02 17:02:02.835, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.92, 300
2026/04/02 17:02:02.871, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 76, 19124, 24576, 67, 250.79, 1485
2026/04/02 17:02:02.879, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.60, 300
2026/04/02 17:02:02.915, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 23.27, 300
2026/04/02 17:02:07.951, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.75, 300
2026/04/02 17:02:07.987, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 73, 19124, 24576, 67, 251.77, 1470
2026/04/02 17:02:07.995, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.59, 300
2026/04/02 17:02:08.031, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 23.28, 300
2026/04/02 17:02:13.068, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.80, 300
2026/04/02 17:02:13.104, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 75, 19124, 24576, 67, 247.31, 1485
2026/04/02 17:02:13.118, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.48, 300
2026/04/02 17:02:13.155, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 23.24, 300
2026/04/02 17:02:18.192, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.74, 300
2026/04/02 17:02:18.228, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 74, 19124, 24576, 67, 260.76, 1455
2026/04/02 17:02:18.235, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.89, 300
2026/04/02 17:02:18.271, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 23.20, 300
2026/04/02 17:02:23.307, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.85, 300
2026/04/02 17:02:23.344, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 76, 19124, 24576, 67, 252.83, 1470
2026/04/02 17:02:23.351, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.69, 300
2026/04/02 17:02:23.387, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 23.35, 300
2026/04/02 17:02:28.423, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.86, 300
2026/04/02 17:02:28.460, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 76, 19124, 24576, 67, 248.40, 1470
2026/04/02 17:02:28.466, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.41, 300
2026/04/02 17:02:28.502, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 23.22, 300
2026/04/02 17:02:33.538, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.79, 300
2026/04/02 17:02:33.575, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 74, 19124, 24576, 67, 259.54, 1470
2026/04/02 17:02:33.583, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.31, 300
2026/04/02 17:02:33.619, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 23.09, 300
2026/04/02 17:02:38.655, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.70, 300
2026/04/02 17:02:38.692, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 80, 19124, 24576, 67, 251.41, 1500
2026/04/02 17:02:38.708, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.49, 300
2026/04/02 17:02:38.744, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 23.09, 300
2026/04/02 17:02:43.780, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.69, 300
2026/04/02 17:02:43.816, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 83, 19124, 24576, 67, 232.13, 1485
2026/04/02 17:02:43.825, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.38, 300
2026/04/02 17:02:43.860, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 23.01, 300
2026/04/02 17:02:48.896, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.87, 300
2026/04/02 17:02:48.932, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 81, 19124, 24576, 67, 255.22, 1485
2026/04/02 17:02:48.939, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.80, 300
2026/04/02 17:02:48.975, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 32, 23.15, 300
2026/04/02 17:02:54.012, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 31, 20.87, 300
2026/04/02 17:02:54.048, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 73, 19124, 24576, 67, 260.01, 1470
2026/04/02 17:02:54.055, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 32, 29.51, 300
